number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_fair_c,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,params_objective,state
0,0.21207589053397696,2025-12-04 10:16:03.088305,2025-12-04 10:22:20.918903,0 days 00:06:17.830598,0.7157041376701743,3,5.060296907702392,0.820912373116775,0.0037987884730282446,44,147,fair,COMPLETE
1,0.17110837898411552,2025-12-04 10:22:20.921518,2025-12-04 10:25:00.916056,0 days 00:02:39.994538,0.8525022701254755,1,3.9301573671721117,0.9634844938477534,0.06451318860856883,14,50,fair,COMPLETE
2,0.18397903412158143,2025-12-04 10:25:00.917888,2025-12-04 10:33:25.556372,0 days 00:08:24.638484,0.947290653039298,4,9.221611319604277,0.7160283765239835,0.005741136613981672,71,250,fair,COMPLETE
3,0.3546505837721521,2025-12-04 10:33:25.566861,2025-12-04 10:38:24.265316,0 days 00:04:58.698455,0.906743066244243,5,6.074560412824446,0.7627229053292462,0.002064654804372316,89,20,fair,COMPLETE
4,0.18454334793128918,2025-12-04 10:38:24.275119,2025-12-04 10:51:32.830261,0 days 00:13:08.555142,0.7680933246780247,4,,0.7456104832533151,0.013081781347262345,34,144,regression_l1,COMPLETE
5,0.15961812286983984,2025-12-04 10:51:32.836563,2025-12-04 10:58:21.979085,0 days 00:06:49.142522,0.9565616515940975,4,8.77626988979612,0.9497118244965578,0.07842853303922878,74,139,fair,COMPLETE
6,0.21993007797946668,2025-12-04 10:58:21.986595,2025-12-04 11:09:34.065669,0 days 00:11:12.079074,0.7201757910337624,4,5.135933543123968,0.923887482883741,0.00431119509892581,92,102,fair,COMPLETE
7,0.29236421109411453,2025-12-04 11:09:34.071514,2025-12-04 11:17:22.081092,0 days 00:07:48.009578,0.8644661426170859,1,,0.7760059692014539,0.0020054711543546393,68,123,regression,COMPLETE
8,0.18066487164908376,2025-12-04 11:17:22.082802,2025-12-04 11:19:21.475258,0 days 00:01:59.392456,0.7021968662244396,5,7.886259203442362,0.8225657077772978,0.023239654039269114,44,72,fair,COMPLETE
9,0.28442798600129404,2025-12-04 11:19:21.477139,2025-12-04 11:32:03.369904,0 days 00:12:41.892765,0.8680222684491725,4,,0.8183748419419646,0.0018624112320935774,25,250,regression,COMPLETE
10,0.16818757891458871,2025-12-04 11:32:03.375149,2025-12-04 11:40:06.100818,0 days 00:08:02.725669,0.9925298080575788,2,,0.8942576211904943,0.0823948560161638,69,188,regression_l1,COMPLETE
11,0.16849648841843687,2025-12-04 11:40:06.103999,2025-12-04 11:47:03.421130,0 days 00:06:57.317131,0.994809426637198,2,,0.8947494492590462,0.09935219006662489,69,197,regression_l1,COMPLETE
12,0.17234755635024293,2025-12-04 11:47:03.425022,2025-12-04 11:54:34.046101,0 days 00:07:30.621079,0.983433234291464,2,,0.9795813797432723,0.03693591130659469,81,182,regression_l1,COMPLETE
13,0.17024206673437003,2025-12-04 11:54:34.049327,2025-12-04 12:00:21.075055,0 days 00:05:47.025728,0.9434518431792445,3,,0.8949058121824051,0.038925396019005284,57,191,regression_l1,COMPLETE
14,0.17952533840325452,2025-12-04 12:00:21.077022,2025-12-04 12:07:32.760501,0 days 00:07:11.683479,0.9358600959934519,2,,0.917046388268034,0.016128528830168392,100,213,regression_l1,COMPLETE
15,0.16058430946556865,2025-12-04 12:07:32.762897,2025-12-04 12:12:33.362341,0 days 00:05:00.599444,0.8084169484267403,3,,0.9996621821795046,0.07701548168046189,79,162,regression,COMPLETE
16,0.16726382456299455,2025-12-04 12:12:33.364794,2025-12-04 12:16:34.660666,0 days 00:04:01.295872,0.8021541603757779,3,,0.9965475530595921,0.041492937850348056,80,104,regression,COMPLETE
17,0.1660627509489843,2025-12-04 12:16:34.665033,2025-12-04 12:23:56.444180,0 days 00:07:21.779147,0.8034106607489986,3,,0.9469009690942406,0.024714512750933216,56,160,regression,COMPLETE
18,0.1636431445591381,2025-12-04 12:23:56.458981,2025-12-04 12:28:18.999833,0 days 00:04:22.540852,0.8161359474264194,5,,0.9518585098858142,0.059267758153600116,81,110,regression,COMPLETE
19,0.4771964419016482,2025-12-04 12:28:19.013905,2025-12-04 12:33:26.991920,0 days 00:05:07.978015,0.8953503203385874,4,,0.9961998458436363,0.0010309636027256357,62,77,regression,COMPLETE
20,0.1892513713191349,2025-12-04 12:33:26.994396,2025-12-04 12:39:31.585551,0 days 00:06:04.591155,0.7551790808024053,4,9.892427353098325,0.8710240785050958,0.0076513867326973095,100,160,fair,COMPLETE
21,0.16341427000492842,2025-12-04 12:39:31.588676,2025-12-04 12:43:59.022792,0 days 00:04:27.434116,0.8188977896712841,5,,0.9439500679007634,0.055408877059871596,80,117,regression,COMPLETE
22,0.16221190842438382,2025-12-04 12:43:59.027501,2025-12-04 12:48:24.744240,0 days 00:04:25.716739,0.8324330378265836,5,,0.9385275810450877,0.07005207114546018,77,120,regression,COMPLETE
23,0.1624520928949597,2025-12-04 12:48:24.746594,2025-12-04 12:53:51.391400,0 days 00:05:26.644806,0.7668337333290242,5,,0.9750575086284088,0.0985081101643873,90,163,regression,COMPLETE
24,0.16942554879222632,2025-12-04 12:53:51.393425,2025-12-04 12:58:38.768941,0 days 00:04:47.375516,0.8322859132342404,4,,0.922431937078707,0.02454925160591863,76,132,regression,COMPLETE
25,0.15726856826514826,2025-12-04 12:58:38.783927,2025-12-04 13:05:03.745599,0 days 00:06:24.961672,0.8853584673002313,5,,0.8639477527946516,0.048036421998756844,62,225,regression,COMPLETE
26,0.15681914332593874,2025-12-04 13:05:03.749139,2025-12-04 13:15:53.368969,0 days 00:10:49.619830,0.8878323058414102,3,,0.8504459086408496,0.04551438127489464,50,224,regression,COMPLETE
27,0.15668443056618894,2025-12-04 13:15:53.371466,2025-12-04 13:23:30.311657,0 days 00:07:36.940191,0.8940722910801528,3,0.5546532240992699,0.8445305869579326,0.04382832112751215,47,233,fair,COMPLETE
28,0.165046335996266,2025-12-04 13:23:30.318555,2025-12-04 13:36:00.755606,0 days 00:12:30.437051,0.9061349726616111,3,,0.8589122998534242,0.016524840081809437,47,222,regression,COMPLETE
29,0.15625005758798274,2025-12-04 13:36:00.759179,2025-12-04 13:44:03.205809,0 days 00:08:02.446630,0.890301210995849,2,1.169355084638215,0.8303865406406123,0.0312938194522038,36,231,fair,COMPLETE
